,message_id,participant,utt,start_timestamp,end_timestamp,corr_utt,Label,Score,Category,Note
0,70cfac19-1171-44a8-b1c1-6d3069941118,BLUE_ASIST2,other Red Door still there,00:38:00,00:40:00,,,,,pre-game
1,10a34235-9c1c-4a46-a2b6-1b553f58271d,GREEN_ASIST2,transporter here I'm back,1:6,01:11:00,,,,,pre-game
2,cec24808-49b9-43d1-a703-ac6fd5c7c202,RED_ASIST_2,this is medic I'm back,01:16:00,01:17:00,,,,,pre-game
3,aa13fe0f-b4a8-4b22-a0eb-4ba9abebacbf,BLUE_ASIST2,transport,1:8,1:8,,,,,pre-game
4,c1f6b2ce-4476-4e6c-b913-a26fdd89ada1,BLUE_ASIST2,ready,01:39:00,01:39:00,,,,,pre-game
5,f2138136-d378-497a-b7a4-7376895e2143,RED_ASIST_2,this is medic should I got a message on slack through parsec should I open it,2:2,2:7,,1a,,"info-request,action-directive",pre-game
6,c58a6b9d-76e5-498e-9b7f-708aa1403aec,RED_ASIST_2,okay I will not,02:10:00,02:11:00,,,,,pre-game
7,da7c5c01-5a72-46e0-93ff-4c59e1284e5f,RED_ASIST_2,no don't worry about it you're good,02:24:00,02:25:00,,,,,pre-game
8,4e12ebb4-828d-4807-90a7-684ef7580dc3,GREEN_ASIST2,wait did you say transporter I'm back,02:42:00,02:44:00,,2a,,info-request,pre-game
9,8ee12abb-eeab-4fe8-8982-48e93a484abf,GREEN_ASIST2,sorry about that,02:46:00,02:46:00,,,,,pre-game
10,d8f40c5f-afd0-478b-8e8f-f2e4eeca4264,RED_ASIST_2,yeah sorry,06:41:00,06:41:00,,,,,pre-game
11,fb51ecec-3f8f-437f-8191-26e1b35b8cc7,GREEN_ASIST2,okay guys I'm thinking we should focus on the left side instead of the right side,06:52:00,06:56:00,,3a,,action-directive,pre-game
12,02491c7d-8427-4021-8785-91ef93ab7c14,GREEN_ASIST2,oh sorry whoops all right,06:59:00,7:0,,,,,pre-game
13,2583f1c2-18ff-49c9-a23e-8d08f3ff59b2,BLUE_ASIST2,yeah,07:22:00,07:22:00,,3b,1.0,accept,pre-game
14,c4c5c5e2-830d-4569-8232-528bf5a5e947,GREEN_ASIST2,okay so we kind of got fucked on the doors last game so what I'm thinking what I'm thinking is if we focus on the left side I think there's going to be a lot more where it's just a single door with multiple victims in it,07:17:00,07:28:00,,4a,,action-directive,pre-game
15,b80d143b-75cb-46bb-8e71-62fe21301ef9,GREEN_ASIST2,friend,07:31:00,07:31:00,,,,,pre-game
16,afc8d49a-7d10-4fb9-820d-eedaee49ec6b,RED_ASIST_2,yeah that's that's a good idea because I kept as medic I kept getting in situations where I was just kind of Trapped in a room and waiting for engineer to make the painful Trek across the map to come rescue me,07:32:00,07:43:00,,4b-1,3.0,accept,pre-game
17,2cbe08ab-9571-47f4-b10f-2e1fee45fb45,BLUE_ASIST2,yeah,07:43:00,07:43:00,,4b-2,1.0,accept,pre-game
18,6a1ad81e-2e2b-4b6c-b523-7bd67b81f7de,GREEN_ASIST2,exactly and then also,07:41:00,07:44:00,,4c,,acknowledge,pre-game
19,ccae358c-a446-4538-8aab-e64640b493ea,GREEN_ASIST2,okay,07:56:00,07:56:00,,4c+,,acknowledge,pre-game
20,ce97fd05-3d0d-4e6c-b9fd-4c8ecf6d6fc6,BLUE_ASIST2,there's a lot of damage on the left side like we have one c a b d yeah there's like five damaged rooms in there and that's all in the left hand side so it'll be a good place to focus,07:48:00,07:59:00,,5a,,assert,
